,Age,City,Event,Games,Height,Medal,NOC,Name,Season,Sex,Sport,Team,Unnamed: 0,Weight,Year
120312,40.0,Rio de Janeiro,Athletics Men's Hammer Throw,2016 Summer,186.0,Silver,BLR,Ivan Grigoryevich Tikhon,Summer,M,Athletics,Belarus,240082,110.0,2016
120388,28.0,Rio de Janeiro,Swimming Men's 100 metres Freestyle,2016 Summer,200.0,Silver,BEL,Pieter Timmers,Summer,M,Swimming,Belgium,240250,89.0,2016
120443,16.0,Rio de Janeiro,Gymnastics Women's Floor Exercise,2016 Summer,152.0,Bronze,GBR,Amy Tinkler,Summer,F,Gymnastics,Great Britain,240347,47.0,2016
120511,25.0,Rio de Janeiro,Boxing Men's Heavyweight,2016 Summer,196.0,Gold,RUS,Yevgeny Andreyevich Tishchenko,Summer,M,Boxing,Russia,240488,91.0,2016
120780,24.0,Rio de Janeiro,"Athletics Men's 10,000 metres",2016 Summer,181.0,Bronze,ETH,Tamirat Tola Abera,Summer,M,Athletics,Ethiopia,241127,59.0,2016
121237,26.0,Rio de Janeiro,Basketball Women's Basketball,2016 Summer,195.0,Silver,ESP,Alba Torrens Salom,Summer,F,Basketball,Spain,242043,80.0,2016
121345,22.0,Rio de Janeiro,"Wrestling Women's Flyweight, Freestyle",2016 Summer,152.0,Gold,JPN,Eri Tosaka,Summer,F,Wrestling,Japan,242256,48.0,2016
121412,33.0,Rio de Janeiro,Athletics Men's 50 kilometres Walk,2016 Summer,185.0,Gold,SVK,Matej Tth,Summer,M,Athletics,Slovakia,242413,73.0,2016
121635,26.0,Rio de Janeiro,Rowing Men's Lightweight Coxless Fours,2016 Summer,183.0,Gold,SUI,Lucas Tramr,Summer,M,Rowing,Switzerland,242890,75.0,2016
121915,37.0,Rio de Janeiro,Rowing Men's Coxed Eights,2016 Summer,192.0,Gold,GBR,"Andrew ""Andy"" Triggs Hodge",Summer,M,Rowing,Great Britain,243432,97.0,2016
122093,27.0,Rio de Janeiro,Volleyball Men's Volleyball,2016 Summer,203.0,Bronze,USA,Murphy Edward Troy,Summer,M,Volleyball,United States,243790,107.0,2016
122530,40.0,Rio de Janeiro,Rowing Men's Double Sculls,2016 Summer,193.0,Bronze,NOR,Olaf Karl Tufte,Summer,M,Rowing,Norway,244737,94.0,2016
122563,24.0,Rio de Janeiro,Boxing Men's Heavyweight,2016 Summer,186.0,Bronze,UZB,Rustam Tulaganov,Summer,M,Boxing,Uzbekistan,244800,91.0,2016
122609,24.0,Rio de Janeiro,Athletics Men's 400 metres Hurdles,2016 Summer,175.0,Silver,KEN,Boniface Mucheru Tumuti,Summer,M,Athletics,Kenya,244871,72.0,2016
122858,17.0,Rio de Janeiro,Gymnastics Women's Team All-Around,2016 Summer,146.0,Silver,RUS,Seda Gurgenovna Tutkhalyan,Summer,F,Gymnastics,Russia,245328,43.0,2016
123056,27.0,Rio de Janeiro,Gymnastics Men's Team All-Around,2016 Summer,160.0,Gold,JPN,Kohei Uchimura,Summer,M,Gymnastics,Japan,245737,54.0,2016
123195,26.0,Rio de Janeiro,Rowing Men's Coxed Eights,2016 Summer,199.0,Bronze,NED,Dirk Uittenbogaard,Summer,M,Rowing,Netherlands,246036,93.0,2016
123871,22.0,Rio de Janeiro,Rowing Women's Double Sculls,2016 Summer,176.0,Bronze,LTU,Milda Valiukait,Summer,F,Rowing,Lithuania,247431,66.0,2016
123925,27.0,Rio de Janeiro,Boxing Women's Flyweight,2016 Summer,160.0,Bronze,COL,Ingrit Lorena Valencia Victoria,Summer,F,Boxing,Colombia,247532,50.0,2016
124348,28.0,Rio de Janeiro,Swimming Men's 100 metres Breaststroke,2016 Summer,185.0,Silver,RSA,Cameron van der Burgh,Summer,M,Swimming,South Africa,248403,85.0,2016
124731,22.0,Rio de Janeiro,Swimming Women's 4 x 100 metres Freestyle Relay,2016 Summer,180.0,Bronze,CAN,Chantal Jean Van Landeghem,Summer,F,Swimming,Canada,249150,77.0,2016
124804,24.0,Rio de Janeiro,Athletics Men's 400 metres,2016 Summer,183.0,Gold,RSA,Wayde van Niekerk,Summer,M,Athletics,South Africa,249269,70.0,2016
124886,22.0,Rio de Janeiro,Swimming Women's 10 kilometres Open Water,2016 Summer,173.0,Gold,NED,Sharon van Rouwendaal,Summer,F,Swimming,Netherlands,249423,65.0,2016
125792,26.0,Rio de Janeiro,Volleyball Women's Volleyball,2016 Summer,190.0,Silver,SRB,Stefana Veljkovi,Summer,F,Volleyball,Serbia,251194,76.0,2016
125943,25.0,Rio de Janeiro,Athletics Men's 4 x 400 metres Relay,2016 Summer,173.0,Gold,USA,David Verburg,Summer,M,Athletics,United States,251494,70.0,2016
126096,22.0,Rio de Janeiro,Gymnastics Men's Parallel Bars,2016 Summer,161.0,Gold,UKR,Oleh Yuriyovych Verniaiev,Summer,M,Gymnastics,Ukraine,251783,55.0,2016
126144,29.0,Rio de Janeiro,Rowing Men's Coxed Eights,2016 Summer,197.0,Bronze,NED,"Pieter Gilles ""Mechiel"" Versluis",Summer,M,Rowing,Netherlands,251892,95.0,2016
126248,25.0,Rio de Janeiro,Volleyball Men's Volleyball,2016 Summer,200.0,Silver,ITA,Luca Vettori,Summer,M,Volleyball,Italy,252102,95.0,2016
126330,23.0,Rio de Janeiro,Rowing Men's Coxless Fours,2016 Summer,195.0,Bronze,ITA,Giuseppe Vicino,Summer,M,Rowing,Italy,252281,95.0,2016
126574,32.0,Rio de Janeiro,Athletics Women's Javelin Throw,2016 Summer,170.0,Silver,RSA,Sunette Stella Viljoen,Summer,F,Athletics,South Africa,252787,72.0,2016
126862,27.0,Rio de Janeiro,Rowing Women's Double Sculls,2016 Summer,170.0,Bronze,LTU,Donata Vitartait,Summer,F,Rowing,Lithuania,253344,62.0,2016
126975,32.0,Rio de Janeiro,Athletics Women's High Jump,2016 Summer,193.0,Bronze,CRO,Blanka Vlai,Summer,F,Athletics,Croatia,253561,71.0,2016
126983,25.0,Rio de Janeiro,"Wrestling Men's Middleweight, Greco-Roman",2016 Summer,175.0,Gold,RUS,Roman Andreyevich Vlasov,Summer,M,Wrestling,Russia,253572,75.0,2016
127216,28.0,Rio de Janeiro,Swimming Women's 4 x 100 metres Medley Relay,2016 Summer,185.0,Gold,USA,Dana Whitney Vollmer (-Grant),Summer,F,Swimming,United States,254067,68.0,2016
127491,25.0,Rio de Janeiro,"Wrestling Women's Light-Heavyweight, Freestyle",2016 Summer,174.0,Silver,RUS,Nataliya Vitalyevna Vorobyova,Summer,F,Wrestling,Russia,254667,69.0,2016
127739,21.0,Rio de Janeiro,Handball Women's Handball,2016 Summer,168.0,Gold,RUS,Anna Viktorovna Vyakhireva,Summer,F,Handball,Russia,255166,63.0,2016
128033,23.0,Rio de Janeiro,Athletics Men's Javelin Throw,2016 Summer,183.0,Bronze,TTO,Keshorn Walcott,Summer,M,Athletics,Trinidad and Tobago,255734,90.0,2016
128077,24.0,Rio de Janeiro,Taekwondo Women's Heavyweight,2016 Summer,182.0,Bronze,GBR,Bianca Michaela Walkden,Summer,F,Taekwondo,Great Britain,255817,74.0,2016
128145,26.0,Rio de Janeiro,Swimming Men's 4 x 100 metres Medley Relay,2016 Summer,184.0,Silver,GBR,"Christopher James ""Chris"" Walker-Hebborn",Summer,M,Swimming,Great Britain,255933,84.0,2016
128152,29.0,Rio de Janeiro,Volleyball Men's Volleyball,2016 Summer,198.0,Gold,BRA,Wallace Leandro de Souza,Summer,M,Volleyball,Brazil,255950,87.0,2016
128156,23.0,Rio de Janeiro,Swimming Men's 4 x 200 metres Freestyle Relay,2016 Summer,188.0,Silver,GBR,"Daniel ""Dan"" Wallace",Summer,M,Swimming,Great Britain,255955,80.0,2016
128283,24.0,Rio de Janeiro,Athletics Men's Shot Put,2016 Summer,185.0,Bronze,NZL,"Tomas ""Tom"" Walsh",Summer,M,Athletics,New Zealand,256190,120.0,2016
128565,22.0,Rio de Janeiro,Swimming Men's 200 metres Individual Medley,2016 Summer,191.0,Bronze,CHN,Wang Shun,Summer,M,Swimming,China,256759,74.0,2016
128618,16.0,Rio de Janeiro,Gymnastics Women's Team All-Around,2016 Summer,140.0,Bronze,CHN,Wang Yan,Summer,F,Gymnastics,China,256864,33.0,2016
128646,24.0,Rio de Janeiro,Athletics Men's 20 kilometres Walk,2016 Summer,180.0,Gold,CHN,Wang Zhen,Summer,M,Athletics,China,256918,62.0,2016
128773,26.0,Rio de Janeiro,Athletics Men's Decathlon,2016 Summer,185.0,Bronze,CAN,Damian Warner,Summer,M,Athletics,Canada,257164,83.0,2016
129236,24.0,Rio de Janeiro,Swimming Men's 10 kilometres Open Water,2016 Summer,189.0,Gold,NED,Ferry Weertman,Summer,M,Swimming,Netherlands,258086,86.0,2016
129294,27.0,Rio de Janeiro,Volleyball Women's Volleyball,2016 Summer,182.0,Gold,CHN,Wei Qiuyue,Summer,F,Volleyball,China,258203,65.0,2016
129382,30.0,Rio de Janeiro,Handball Men's Handball,2016 Summer,191.0,Bronze,GER,Steffen Weinhold,Summer,M,Handball,Germany,258394,94.0,2016
129402,30.0,Rio de Janeiro,Swimming Women's 4 x 100 metres Freestyle Relay,2016 Summer,188.0,Silver,USA,Amanda Jo Weir (-Davis),Summer,F,Swimming,United States,258432,77.0,2016
129476,19.0,Rio de Janeiro,Swimming Women's 4 x 100 metres Medley Relay,2016 Summer,178.0,Gold,USA,Abbey Weitzeil,Summer,F,Swimming,United States,258590,68.0,2016
129601,31.0,Rio de Janeiro,Rowing Men's Quadruple Sculls,2016 Summer,199.0,Gold,GER,Phillipp Wende,Summer,M,Rowing,Germany,258859,90.0,2016
129898,24.0,Rio de Janeiro,Gymnastics Women's Balance Beam,2016 Summer,156.0,Gold,NED,Sanne Wevers,Summer,F,Gymnastics,Netherlands,259453,46.0,2016
129913,34.0,Rio de Janeiro,Basketball Women's Basketball,2016 Summer,175.0,Gold,USA,Lindsay Marie Whalen,Summer,F,Basketball,United States,259497,72.0,2016
130071,23.0,Rio de Janeiro,Gymnastics Men's Pommelled Horse,2016 Summer,167.0,Gold,GBR,Max Antony Whitlock,Summer,M,Gymnastics,Great Britain,259835,56.0,2016
130186,27.0,Rio de Janeiro,"Wrestling Women's Heavyweight, Freestyle",2016 Summer,175.0,Gold,CAN,Erica Elizabeth Wiebe,Summer,F,Wrestling,Canada,260087,75.0,2016
130204,22.0,Rio de Janeiro,Handball Men's Handball,2016 Summer,194.0,Bronze,GER,Fabian Wiede,Summer,M,Handball,Germany,260145,94.0,2016
130246,27.0,Rio de Janeiro,Handball Men's Handball,2016 Summer,200.0,Bronze,GER,Patrick Wiencek,Summer,M,Handball,Germany,260233,110.0,2016
130259,31.0,Rio de Janeiro,Rowing Men's Coxed Eights,2016 Summer,173.0,Bronze,NED,Peter Noel Jan Wiersum,Summer,M,Rowing,Netherlands,260260,55.0,2016
130298,22.0,Rio de Janeiro,Rowing Men's Coxed Eights,2016 Summer,201.0,Bronze,NED,Tone Wieten,Summer,M,Rowing,Netherlands,260338,102.0,2016
130568,21.0,Rio de Janeiro,Athletics Women's 4 x 100 metres Relay,2016 Summer,165.0,Silver,JAM,Christania Williams,Summer,F,Athletics,Jamaica,260928,63.0,2016
130645,25.0,Rio de Janeiro,Swimming Women's 4 x 100 metres Freestyle Relay,2016 Summer,175.0,Bronze,CAN,Michelle Williams (-Toro),Summer,F,Swimming,Canada,261072,67.0,2016
130707,34.0,Rio de Janeiro,Athletics Women's 4 x 400 metres Relay,2016 Summer,168.0,Silver,JAM,Novlene Hilaire Williams-Mills,Summer,F,Athletics,Jamaica,261193,57.0,2016
130734,33.0,Rio de Janeiro,"Athletics Men's 1,500 metres",2016 Summer,183.0,Bronze,NZL,"Nicholas Ian ""Nick"" Willis",Summer,M,Athletics,New Zealand,261251,68.0,2016
130864,22.0,Rio de Janeiro,Swimming Women's 4 x 100 metres Medley Relay,2016 Summer,179.0,Silver,AUS,"Madison ""Madi"" Wilson",Summer,F,Swimming,Australia,261540,61.0,2016
130868,32.0,Rio de Janeiro,Rowing Women's Coxed Eights,2016 Summer,184.0,Silver,GBR,Melanie Kate Wilson,Summer,F,Rowing,Great Britain,261547,75.0,2016
130874,20.0,Rio de Janeiro,Gymnastics Men's Horizontal Bar,2016 Summer,166.0,Bronze,GBR,Nile Wilson,Summer,M,Gymnastics,Great Britain,261563,60.0,2016
131072,31.0,Rio de Janeiro,Rowing Men's Lightweight Coxless Fours,2016 Summer,182.0,Silver,DEN,Kasper Winther Jrgensen,Summer,M,Rowing,Denmark,261973,73.0,2016
131193,30.0,Rio de Janeiro,Athletics Women's Hammer Throw,2016 Summer,178.0,Gold,POL,Anita Wodarczyk,Summer,F,Athletics,Poland,262213,95.0,2016
131339,25.0,Rio de Janeiro,Handball Men's Handball,2016 Summer,198.0,Bronze,GER,Andreas Wolff,Summer,M,Handball,Germany,262500,110.0,2016
131451,18.0,Rio de Janeiro,Taekwondo Women's Flyweight,2016 Summer,173.0,Bronze,THA,Panipak Wongpattanakit,Summer,F,Taekwondo,Thailand,262712,49.0,2016
131614,22.0,Rio de Janeiro,Swimming Women's 4 x 100 metres Medley Relay,2016 Summer,180.0,Gold,USA,Kelsi Worrell,Summer,F,Swimming,United States,263025,75.0,2016
131981,25.0,Rio de Janeiro,Basketball Women's Basketball,2016 Summer,180.0,Silver,ESP,Marta Xargay Casademont,Summer,F,Basketball,Spain,263736,71.0,2016
132065,20.0,Rio de Janeiro,Swimming Men's 100 metres Backstroke,2016 Summer,187.0,Silver,CHN,Xu Jiayu,Summer,M,Swimming,China,263920,78.0,2016
132103,29.0,Rio de Janeiro,Volleyball Women's Volleyball,2016 Summer,195.0,Gold,CHN,Xu Yunli,Summer,F,Volleyball,China,263994,75.0,2016
132276,24.0,Rio de Janeiro,Athletics Men's 4 x 100 metres Relay,2016 Summer,177.0,Silver,JPN,Ryota Yamagata,Summer,M,Athletics,Japan,264322,70.0,2016
132340,27.0,Rio de Janeiro,Gymnastics Men's Team All-Around,2016 Summer,159.0,Gold,JPN,Koji Yamamuro,Summer,M,Gymnastics,Japan,264454,58.0,2016
132415,29.0,Rio de Janeiro,Volleyball Women's Volleyball,2016 Summer,192.0,Gold,CHN,Yan Ni,Summer,F,Volleyball,China,264612,74.0,2016
132485,21.0,Rio de Janeiro,Volleyball Women's Volleyball,2016 Summer,190.0,Gold,CHN,Yang Fangxu,Summer,F,Volleyball,China,264749,71.0,2016
132603,21.0,Rio de Janeiro,"Wrestling Women's Flyweight, Freestyle",2016 Summer,151.0,Bronze,BUL,Elitsa Atanasova Yankova,Summer,F,Wrestling,Bulgaria,265003,48.0,2016
132665,26.0,Rio de Janeiro,"Wrestling Men's Light-Heavyweight, Freestyle",2016 Summer,179.0,Silver,TUR,Selim Yaar,Summer,M,Wrestling,Turkey,265108,86.0,2016
132729,21.0,Rio de Janeiro,"Wrestling Men's Middleweight, Freestyle",2016 Summer,181.0,Gold,IRI,Hassan Aliazam Yazdanicharati,Summer,M,Wrestling,Iran,265216,74.0,2016
132765,24.0,Rio de Janeiro,Swimming Women's 200 metres Breaststroke,2016 Summer,178.0,Silver,RUS,Yuliya Andreyevna Yefimova,Summer,F,Swimming,Russia,265291,64.0,2016
132776,27.0,Rio de Janeiro,Athletics Men's Javelin Throw,2016 Summer,175.0,Silver,KEN,Julius Kiplagat Yego,Summer,M,Athletics,Kenya,265312,94.0,2016
132813,25.0,Rio de Janeiro,Boxing Men's Welterweight,2016 Summer,178.0,Gold,KAZ,Daniyar Maratovich Yeleusinov,Summer,M,Boxing,Kazakhstan,265406,64.0,2016
132899,31.0,Rio de Janeiro,Handball Women's Handball,2016 Summer,185.0,Gold,RUS,Tatyana Vladimirova Yerokhina,Summer,F,Handball,Russia,265601,73.0,2016
132989,25.0,Rio de Janeiro,Boxing Women's Lightweight,2016 Summer,167.0,Silver,CHN,Yin Junhua,Summer,F,Boxing,China,265783,60.0,2016
133031,24.0,Rio de Janeiro,Boxing Men's Super-Heavyweight,2016 Summer,200.0,Gold,FRA,Tony Victor James Yoka,Summer,M,Boxing,France,265879,105.0,2016
133130,33.0,Rio de Janeiro,"Wrestling Women's Featherweight, Freestyle",2016 Summer,157.0,Silver,JPN,Saori Yoshida,Summer,F,Wrestling,Japan,266103,55.0,2016
133174,24.0,Rio de Janeiro,Gymnastics Men's Team All-Around,2016 Summer,162.0,Bronze,CHN,You Hao,Summer,M,Gymnastics,China,266171,60.0,2016
133402,19.0,Rio de Janeiro,Volleyball Women's Volleyball,2016 Summer,201.0,Gold,CHN,Yuan Xinyue,Summer,F,Volleyball,China,266669,78.0,2016
133577,23.0,Rio de Janeiro,Handball Women's Handball,2016 Summer,171.0,Silver,FRA,Grce Zaadi Deuna,Summer,F,Handball,France,266984,66.0,2016
133931,26.0,Rio de Janeiro,Gymnastics Men's Rings,2016 Summer,156.0,Silver,BRA,Arthur Nabarrete Zanetti,Summer,M,Gymnastics,Brazil,267709,61.0,2016
134145,27.0,Rio de Janeiro,Volleyball Men's Volleyball,2016 Summer,204.0,Silver,ITA,Ivan Zaytsev,Summer,M,Volleyball,Italy,268133,100.0,2016
134431,20.0,Rio de Janeiro,Volleyball Women's Volleyball,2016 Summer,193.0,Gold,CHN,Zhang Changning,Summer,F,Volleyball,China,268706,79.0,2016
134433,27.0,Rio de Janeiro,Gymnastics Men's Team All-Around,2016 Summer,173.0,Bronze,CHN,Zhang Chenglong,Summer,M,Gymnastics,China,268713,65.0,2016
134448,26.0,Rio de Janeiro,"Wrestling Women's Heavyweight, Freestyle",2016 Summer,172.0,Bronze,CHN,Zhang Fengliu,Summer,F,Wrestling,China,268744,77.0,2016
134559,30.0,Rio de Janeiro,Athletics Women's Hammer Throw,2016 Summer,183.0,Silver,CHN,Zhang Wenxiu,Summer,F,Athletics,China,268944,105.0,2016
134663,20.0,Rio de Janeiro,Taekwondo Men's Flyweight,2016 Summer,188.0,Gold,CHN,Zhao Shuai,Summer,M,Taekwondo,China,269117,63.0,2016
134740,22.0,Rio de Janeiro,Taekwondo Women's Heavyweight,2016 Summer,188.0,Gold,CHN,Zheng Shuyin,Summer,F,Taekwondo,China,269277,75.0,2016
134759,27.0,Rio de Janeiro,Handball Women's Handball,2016 Summer,188.0,Gold,RUS,Viktoriya Yuryevna Zhilinskayte,Summer,F,Handball,Russia,269312,80.0,2016
134776,23.0,Rio de Janeiro,"Wrestling Women's Lightweight, Freestyle",2016 Summer,164.0,Silver,RUS,Valeriya Sergeyevna Zholobova-Koblova,Summer,F,Wrestling,Russia,269352,58.0,2016
134857,21.0,Rio de Janeiro,Volleyball Women's Volleyball,2016 Summer,198.0,Gold,CHN,Zhu Ting,Summer,F,Volleyball,China,269511,78.0,2016
135132,28.0,Rio de Janeiro,Volleyball Women's Volleyball,2016 Summer,186.0,Silver,SRB,Bojana ivkovi,Summer,F,Volleyball,Serbia,270111,72.0,2016
135205,23.0,Rio de Janeiro,Boxing Men's Flyweight,2016 Summer,169.0,Gold,UZB,Shakhobiddin Shokirovich Zoirov,Summer,M,Boxing,Uzbekistan,270281,52.0,2016
